muestra,t,M 5A,DUT 30A,
12,5763,74.941,121.463,
13,6285,76.175,121.009,
14,6808,82.197,118.741,
15,7331,77.121,123.550,
16,7855,79.105,120.311,
17,8378,78.734,118.550,
18,8901,72.746,119.040,
19,9426,75.981,116.944,
20,9949,73.863,117.673,
21,10472,74.779,115.536,
22,10996,76.199,114.939,
23,11520,77.189,114.805,
24,12043,78.118,115.676,
muestra,t,M 5A,DUT 30A,
2,530,77.594,114.263,
3,1053,74.247,117.232,
4,1575,75.979,120.365,
5,2099,74.883,120.399,
6,2623,75.122,117.122,
7,3146,78.511,116.762,
8,3669,73.894,118.085,
9,4192,75.291,115.311,
10,4716,76.468,119.258,
11,5239,77.265,117.315,
12,5762,80.724,116.317,
13,6287,76.360,120.613,
14,6810,75.423,116.845,
15,7333,74.578,119.258,
16,7857,75.520,116.750,
17,8381,76.435,117.645,
18,8903,74.678,118.986,
19,9426,73.673,119.149,
20,9950,73.203,115.862,
21,10474,74.327,117.865,
22,11000,75.379,116.706,
23,11523,77.330,115.759,
24,12048,76.643,109.354,
muestra,t,M 5A,DUT 30A,
2,525,75.431,117.948,
3,1048,80.408,115.871,
4,1572,78.090,120.560,
5,2096,77.072,122.339,
6,2619,77.097,117.893,
7,3142,78.171,117.177,
8,3667,77.716,116.944,
9,4189,76.117,118.986,
10,4712,75.865,114.494,
11,5235,76.786,116.762,
12,5759,73.905,114.861,
13,6282,76.240,116.706,
14,6804,75.208,117.011,
15,7328,77.897,113.980,
16,7851,78.006,114.777,
17,8374,74.682,117.149,
18,8900,76.684,117.011,
19,9425,76.815,114.036,
20,9948,78.262,115.451,
21,10471,73.841,114.013,
22,10995,74.973,114.319,
23,11519,78.128,114.636,
24,12042,77.341,116.429,
muestra,t,M 5A,DUT 30A,
2,526,75.048,115.275,
3,1051,75.900,116.390,
4,1574,74.332,118.057,
5,2098,72.877,120.747,
6,2622,74.734,117.535,
7,3144,77.091,120.902,
8,3667,73.444,117.948,
9,4191,77.158,112.124,
10,4715,73.712,119.149,
11,5237,78.048,116.595,
12,5760,75.583,117.177,
13,6284,76.611,118.507,
14,6810,75.416,120.741,
15,7333,76.850,116.817,
16,7857,76.090,119.834,
17,8381,73.954,118.057,
18,8904,74.290,114.636,
19,9426,76.756,121.383,
20,9950,78.075,114.939,
21,10474,74.798,118.359,
22,10997,76.182,116.206,
23,11520,74.495,113.558,
24,12044,74.893,118.996,
muestra,t,M 5A,DUT 30A,
2,527,78.134,115.667,
3,1050,77.890,115.339,
4,1572,76.427,119.312,
5,2096,76.352,120.399,
6,2620,79.097,117.149,
7,3142,75.020,120.741,
8,3665,75.530,120.392,
9,4192,73.665,122.841,
10,4716,74.458,119.122,
11,5239,76.675,122.814,
12,5761,76.371,121.303,
13,6286,76.169,118.425,
14,6809,75.927,118.904,
15,7332,76.131,121.463,
16,7856,76.606,117.604,
17,8379,78.374,116.401,
18,8902,78.111,120.150,
19,9425,77.720,119.853,
20,9949,77.276,118.561,
21,10472,76.091,118.359,
22,10995,76.758,119.231,
23,11518,75.080,115.676,
24,12042,80.882,113.696,
muestra,t,M 5A,DUT 30A,
2,526,78.313,114.404,
3,1051,76.086,115.695,
4,1573,79.991,118.386,
5,2098,76.960,119.040,
6,2622,76.638,118.996,
7,3146,72.933,122.154,
8,3669,77.163,118.523,
9,4191,77.990,116.983,
10,4715,77.482,119.429,
11,5239,75.312,116.289,
12,5762,76.048,119.529,
13,6285,74.875,116.540,
14,6810,78.745,120.560,
15,7332,76.528,118.331,
16,7855,78.758,119.556,
17,8379,73.628,121.254,
18,8903,76.803,119.149,
19,9425,74.623,121.169,
20,9948,76.881,115.871,
21,10472,77.309,116.279,
22,10996,74.827,118.249,
23,11519,77.939,115.002,
24,12042,83.148,116.567,
muestra,t,M 5A,DUT 30A,
2,525,78.256,115.451,
3,1048,74.436,119.312,
4,1571,75.139,116.224,
5,2095,76.784,120.661,
6,2618,75.009,119.258,
7,3140,78.732,118.741,
8,3664,75.607,120.640,
9,4188,75.875,118.686,
10,4711,79.207,117.975,
11,5233,76.114,119.664,
12,5756,73.547,118.468,
13,6280,76.546,118.495,
14,6803,75.825,118.085,
15,7325,78.688,118.468,
16,7850,76.580,121.652,
17,8373,77.094,119.040,
18,8896,74.954,121.116,
19,9419,77.301,119.691,
20,9943,77.758,118.686,
21,10468,77.436,119.556,
22,10991,76.160,116.928,
23,11514,77.795,121.915,
24,12038,77.524,119.447,
muestra,t,M 5A,DUT 30A,
2,525,78.258,116.706,
3,1048,78.243,115.051,
4,1573,76.682,117.824,
5,2096,76.262,117.204,
6,2619,81.800,117.480,
7,3142,80.997,118.207,
8,3666,77.753,115.227,
9,4189,78.372,118.741,
10,4711,78.529,119.610,
11,5236,76.283,120.130,
12,5759,81.313,114.889,
13,6282,78.027,117.948,
14,6806,78.214,119.159,
15,7329,77.295,117.480,
16,7852,78.027,118.959,
17,8377,78.747,121.383,
18,8901,78.838,117.961,
19,9425,80.404,117.370,
20,9948,77.721,116.540,
21,10470,75.335,117.425,
22,10994,79.757,115.471,
23,11518,77.300,114.974,
24,12041,74.756,116.512,
muestra,t,M 5A,DUT 30A,
2,526,76.055,119.203,
3,1049,75.336,116.484,
4,1572,77.957,117.011,
5,2095,79.836,116.999,
6,2619,76.993,122.048,
7,3143,76.024,118.425,
8,3666,77.445,119.637,
9,4191,75.152,122.446,
10,4713,76.937,117.011,
11,5236,78.988,117.783,
12,5760,76.694,120.506,
13,6286,75.770,116.817,
14,6809,75.997,118.413,
15,7332,74.875,119.745,
16,7856,75.448,119.050,
17,8380,77.653,119.176,
18,8902,75.096,119.637,
19,9425,75.367,118.359,
20,9950,78.028,117.714,
21,10473,75.856,115.927,
22,10995,78.761,115.115,
23,11520,76.106,116.778,
24,12043,73.145,119.556,
muestra,t,M 5A,DUT 30A,
2,525,74.783,117.149,
3,1048,77.195,115.648,
4,1572,74.433,122.788,
5,2095,77.582,118.823,
6,2618,76.793,115.451,
7,3141,77.044,123.314,
8,3668,73.515,117.495,
9,4192,77.410,117.879,
10,4715,75.514,119.853,
11,5239,78.165,119.321,
12,5763,79.234,123.812,
13,6285,75.889,120.204,
14,6808,74.480,120.365,
15,7332,79.229,117.577,
16,7856,76.558,119.745,
17,8379,75.446,117.673,
18,8901,76.068,117.342,
19,9426,73.168,122.182,
20,9949,77.295,118.140,
21,10472,75.157,118.249,
22,10996,73.961,121.652,
23,11520,75.322,118.140,
24,12043,80.379,116.234,
muestra,t,M 5A,DUT 30A,
2,526,78.131,116.944,
3,1051,76.808,114.826,
4,1576,77.344,116.845,
5,2098,75.988,117.508,
6,2622,79.678,115.750,
7,3146,79.767,117.149,
8,3668,77.396,120.258,
9,4192,75.506,118.942,
10,4716,79.894,120.586,
11,5239,79.849,117.204,
12,5762,75.003,118.850,
13,6285,79.807,118.577,
14,6810,78.749,118.015,
15,7333,76.750,115.983,
16,7855,76.649,118.249,
17,8379,75.412,118.234,
18,8903,79.643,119.068,
19,9425,78.548,120.955,
20,9948,76.472,119.312,
21,10472,76.547,118.507,
22,10996,78.457,116.679,
23,11519,74.978,119.664,
24,12044,76.148,115.536,
muestra,t,M 5A,DUT 30A,
2,526,77.305,112.267,
3,1049,79.706,117.618,
4,1572,78.339,118.386,
5,2094,75.511,121.383,
6,2618,76.874,119.240,
7,3141,76.579,122.207,
