muestra,t,M 5A,DUT 30A,
11,5237,79.446,124.853,
12,5761,80.760,124.408,
13,6285,80.997,124.594,
14,6809,83.756,124.304,
15,7332,82.211,124.282,
16,7857,81.840,120.077,
17,8380,80.145,124.672,
18,8903,79.344,127.724,
19,9427,79.215,123.601,
20,9951,79.550,123.419,
21,10474,78.889,121.356,
22,10997,79.645,122.972,
23,11521,78.110,124.018,
24,12045,79.580,124.646,
muestra,t,M 5A,DUT 30A,
2,526,78.029,121.915,
3,1048,80.257,120.955,
4,1572,77.459,124.900,
5,2096,81.976,119.583,
6,2619,78.860,124.542,
7,3142,82.325,121.330,
8,3666,78.904,124.200,
9,4190,79.538,123.942,
10,4713,81.029,125.577,
11,5235,82.099,123.367,
12,5760,79.853,123.365,
13,6284,79.916,122.127,
14,6807,78.885,122.577,
15,7330,80.806,125.809,
16,7855,77.375,124.848,
17,8378,79.434,124.021,
18,8901,81.019,122.418,
19,9425,79.737,127.863,
20,9949,80.449,119.339,
21,10474,80.959,124.229,
22,10997,80.051,122.656,
23,11521,77.141,123.862,
24,12045,81.914,123.942,
muestra,t,M 5A,DUT 30A,
2,528,79.067,121.121,
3,1051,81.700,121.995,
4,1573,78.206,125.860,
5,2097,80.942,123.575,
6,2621,79.537,125.834,
7,3144,78.934,126.910,
8,3667,78.175,125.860,
9,4190,79.618,125.086,
10,4714,78.543,124.073,
11,5237,80.765,123.235,
12,5759,79.763,124.464,
13,6285,80.458,122.709,
14,6807,78.512,123.183,
15,7330,79.219,124.229,
16,7853,78.058,125.860,
17,8379,79.521,125.009,
18,8902,78.080,132.329,
19,9425,80.774,125.551,
20,9949,78.794,121.838,
21,10473,80.363,121.169,
22,10996,79.572,119.447,
23,11518,82.458,120.123,
24,12042,82.456,118.860,
muestra,t,M 5A,DUT 30A,
2,527,78.757,123.130,
3,1050,77.393,125.448,
4,1572,81.325,125.216,
5,2096,78.750,123.418,
6,2620,80.832,129.085,
7,3142,79.730,124.594,
8,3665,80.190,124.203,
9,4189,79.528,121.759,
10,4713,79.974,123.864,
11,5236,78.022,128.381,
12,5761,79.494,125.448,
13,6285,78.249,126.783,
14,6808,81.683,125.963,
15,7330,79.155,124.905,
16,7854,75.320,126.083,
17,8378,80.192,121.702,
18,8901,80.654,123.340,
19,9424,76.972,125.396,
20,9948,80.530,121.918,
21,10471,77.734,121.089,
22,10994,80.766,121.089,
23,11517,80.734,120.231,
24,12041,77.146,125.081,
muestra,t,M 5A,DUT 30A,
2,526,78.963,121.249,
3,1049,76.428,122.154,
4,1571,80.802,121.463,
5,2095,79.648,120.452,
6,2619,77.982,125.241,
7,3142,77.393,125.086,
8,3668,79.346,125.210,
9,4192,78.311,123.183,
10,4715,81.213,124.775,
11,5237,78.446,124.542,
12,5761,80.821,123.470,
13,6285,79.493,122.471,
